description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
"Medical aesthetic, health, and wellness services",,2017,Personal-Care Businesses,$699K - $1.2M,Beverly Hills Rejuvenation,,#363,Not ranked last year,"[{""year"":""2014"",""us"":""0"",""fgn"":0,""com"":""3"",""total"":3},{""year"":""2015"",""us"":""0"",""fgn"":0,""com"":""3"",""total"":3},{""year"":""2016"",""us"":""0"",""fgn"":0,""com"":""3"",""total"":3},{""year"":""2017"",""us"":""1"",""fgn"":0,""com"":""3"",""total"":4},{""year"":""2018"",""us"":""2"",""fgn"":0,""com"":""5"",""total"":7},{""year"":""2019"",""us"":""2"",""fgn"":0,""com"":""6"",""total"":8},{""year"":""2020"",""us"":""6"",""fgn"":0,""com"":""5"",""total"":11},{""year"":""2021"",""us"":""10"",""fgn"":0,""com"":""5"",""total"":15},{""year"":""2022"",""us"":""13"",""fgn"":0,""com"":""5"",""total"":18}]"
Mobile automotive paint and dent repair,,1991,Automotive,$21K - $98K,Colors On Parade,220,#362,Ranked #451 last year,"[{""year"":""2013"",""us"":""218"",""fgn"":0,""com"":""0"",""total"":218},{""year"":""2014"",""us"":""212"",""fgn"":0,""com"":""8"",""total"":220},{""year"":""2015"",""us"":""229"",""fgn"":0,""com"":""8"",""total"":237},{""year"":""2016"",""us"":""229"",""fgn"":0,""com"":""10"",""total"":239},{""year"":""2017"",""us"":""220"",""fgn"":0,""com"":""12"",""total"":232},{""year"":""2018"",""us"":""207"",""fgn"":2,""com"":""10"",""total"":219},{""year"":""2019"",""us"":""213"",""fgn"":0,""com"":""7"",""total"":220},{""year"":""2020"",""us"":""216"",""fgn"":0,""com"":""7"",""total"":223},{""year"":""2021"",""us"":""218"",""fgn"":0,""com"":""6"",""total"":224},{""year"":""2022"",""us"":""216"",""fgn"":0,""com"":""4"",""total"":220}]"
Coworking spaces,2012,2016,Business Services,$431K - $3.3M,Venture X,United Franchise Group,#361,Ranked #261 last year,"[{""year"":""2013"",""us"":"""",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2014"",""us"":"""",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2015"",""us"":"""",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2016"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2017"",""us"":""1"",""fgn"":1,""com"":""1"",""total"":3},{""year"":""2018"",""us"":""10"",""fgn"":1,""com"":""1"",""total"":12},{""year"":""2019"",""us"":""19"",""fgn"":3,""com"":""0"",""total"":22},{""year"":""2020"",""us"":""31"",""fgn"":4,""com"":""0"",""total"":35},{""year"":""2021"",""us"":""37"",""fgn"":8,""com"":""0"",""total"":45},{""year"":""2022"",""us"":""38"",""fgn"":11,""com"":""0"",""total"":49},{""year"":""2023"",""us"":""39"",""fgn"":15,""com"":""0"",""total"":54}]"
Business brokerages,1994,2005,Business Services,$68K - $96K,First Choice Business Brokers,First Choice Business Brokers Inc.,#360,Not ranked last year,"[{""year"":""2013"",""us"":""16"",""fgn"":1,""com"":""0"",""total"":17},{""year"":""2014"",""us"":""18"",""fgn"":0,""com"":""1"",""total"":19},{""year"":""2015"",""us"":""14"",""fgn"":0,""com"":""2"",""total"":16},{""year"":""2016"",""us"":""17"",""fgn"":1,""com"":""1"",""total"":19},{""year"":""2017"",""us"":""13"",""fgn"":1,""com"":""2"",""total"":16},{""year"":""2018"",""us"":""18"",""fgn"":1,""com"":""6"",""total"":25},{""year"":""2019"",""us"":""20"",""fgn"":0,""com"":""6"",""total"":26},{""year"":""2020"",""us"":""41"",""fgn"":0,""com"":""0"",""total"":41},{""year"":""2021"",""us"":""44"",""fgn"":0,""com"":""0"",""total"":44},{""year"":""2022"",""us"":""52"",""fgn"":0,""com"":""6"",""total"":58},{""year"":""2023"",""us"":""68"",""fgn"":0,""com"":""4"",""total"":72}]"
Window treatments,1991,2001,Home Improvement,$88K - $116K,Gotcha Covered,Five Star Franchising,#359,Ranked #284 last year,"[{""year"":""2014"",""us"":""37"",""fgn"":9,""com"":""0"",""total"":46},{""year"":""2015"",""us"":""39"",""fgn"":11,""com"":""0"",""total"":50},{""year"":""2016"",""us"":""46"",""fgn"":17,""com"":""0"",""total"":63},{""year"":""2017"",""us"":""46"",""fgn"":17,""com"":""0"",""total"":63},{""year"":""2018"",""us"":""59"",""fgn"":20,""com"":""0"",""total"":79},{""year"":""2019"",""us"":""73"",""fgn"":20,""com"":""0"",""total"":93},{""year"":""2020"",""us"":""88"",""fgn"":14,""com"":""0"",""total"":102},{""year"":""2021"",""us"":""103"",""fgn"":13,""com"":""0"",""total"":116},{""year"":""2022"",""us"":""115"",""fgn"":13,""com"":""0"",""total"":128}]"
"Sales, rentals, installations, and repairs of mobility products",2008,2016,Health & Wellness,$250K - $392K,Mobility Plus,"Richard Peter, President",#358,Ranked #325 last year,"[{""year"":""2014"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2015"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2016"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2017"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2018"",""us"":""9"",""fgn"":0,""com"":""1"",""total"":10},{""year"":""2019"",""us"":""21"",""fgn"":0,""com"":""1"",""total"":22},{""year"":""2020"",""us"":""35"",""fgn"":0,""com"":""1"",""total"":36},{""year"":""2021"",""us"":""45"",""fgn"":0,""com"":""1"",""total"":46},{""year"":""2022"",""us"":""60"",""fgn"":0,""com"":""0"",""total"":60}]"
"Acai, pitaya, and coconut bowls, smoothies, juices, avocado toast, coffee",,2018,Food,$155K - $335K,Baya Bar,,#357,Not ranked last year,"[{""year"":""2019"",""us"":""2"",""fgn"":0,""com"":""4"",""total"":6},{""year"":""2020"",""us"":""3"",""fgn"":0,""com"":""6"",""total"":9},{""year"":""2021"",""us"":""11"",""fgn"":0,""com"":""3"",""total"":14},{""year"":""2022"",""us"":""19"",""fgn"":0,""com"":""3"",""total"":22}]"
"Toasted sandwiches, salads, sides, alcohol",,2002,Food,$585K - $1M,Cheba Hut Toasted Subs,,#356,Ranked #362 last year,"[{""year"":""2013"",""us"":""16"",""fgn"":0,""com"":""0"",""total"":16},{""year"":""2015"",""us"":""15"",""fgn"":0,""com"":""1"",""total"":16},{""year"":""2016"",""us"":""16"",""fgn"":0,""com"":""1"",""total"":17},{""year"":""2017"",""us"":""12"",""fgn"":0,""com"":""6"",""total"":18},{""year"":""2018"",""us"":""13"",""fgn"":0,""com"":""8"",""total"":21},{""year"":""2019"",""us"":""12"",""fgn"":0,""com"":""13"",""total"":25},{""year"":""2020"",""us"":""19"",""fgn"":0,""com"":""13"",""total"":32},{""year"":""2021"",""us"":""42"",""fgn"":0,""com"":""0"",""total"":42},{""year"":""2022"",""us"":""49"",""fgn"":0,""com"":""1"",""total"":50}]"
Family entertainment centers,,2016,Recreation,$1.5M - $3.8M,Altitude Trampoline Park,,#355,Not ranked last year,"[{""year"":""2019"",""us"":""68"",""fgn"":4,""com"":""2"",""total"":74},{""year"":""2020"",""us"":""68"",""fgn"":4,""com"":""2"",""total"":74},{""year"":""2021"",""us"":""67"",""fgn"":4,""com"":""2"",""total"":73},{""year"":""2022"",""us"":""77"",""fgn"":4,""com"":""2"",""total"":83}]"
"Chopped salads, rice and bean bowls, wraps",2010,2015,Food,$375K - $699K,Chop Stop,"Mark Kulkis, CEO",#354,Ranked #198 last year,"[{""year"":""2013"",""us"":"""",""fgn"":0,""com"":""3"",""total"":3},{""year"":""2014"",""us"":"""",""fgn"":0,""com"":""4"",""total"":4},{""year"":""2015"",""us"":""0"",""fgn"":0,""com"":""4"",""total"":4},{""year"":""2016"",""us"":""1"",""fgn"":0,""com"":""5"",""total"":6},{""year"":""2017"",""us"":""2"",""fgn"":0,""com"":""5"",""total"":7},{""year"":""2018"",""us"":""2"",""fgn"":0,""com"":""5"",""total"":7},{""year"":""2019"",""us"":""9"",""fgn"":0,""com"":""5"",""total"":14},{""year"":""2020"",""us"":""14"",""fgn"":0,""com"":""5"",""total"":19},{""year"":""2021"",""us"":""19"",""fgn"":0,""com"":""5"",""total"":24},{""year"":""2022"",""us"":""21"",""fgn"":0,""com"":""4"",""total"":25}]"
"Fried chicken, seafood, sides",,2013,Food,$9K - $349K,Champs Chicken,,#353,Not ranked last year,"[{""year"":""2014"",""us"":""91"",""fgn"":0,""com"":""0"",""total"":91},{""year"":""2015"",""us"":""263"",""fgn"":0,""com"":""0"",""total"":263},{""year"":""2016"",""us"":""418"",""fgn"":0,""com"":""0"",""total"":418},{""year"":""2017"",""us"":""397"",""fgn"":0,""com"":""0"",""total"":397},{""year"":""2018"",""us"":""393"",""fgn"":0,""com"":""0"",""total"":393},{""year"":""2019"",""us"":""369"",""fgn"":0,""com"":""0"",""total"":369},{""year"":""2020"",""us"":""406"",""fgn"":0,""com"":""0"",""total"":406},{""year"":""2021"",""us"":""416"",""fgn"":0,""com"":""0"",""total"":416},{""year"":""2022"",""us"":""424"",""fgn"":0,""com"":""0"",""total"":424}]"
Swimming lessons for ages 3 months and older,1981,2011,Children's Businesses,$94K - $125K,British Swim School,Buzz Franchise Brands,#352,Ranked #352 last year,"[{""year"":""2013"",""us"":""15"",""fgn"":0,""com"":""2"",""total"":17},{""year"":""2014"",""us"":""17"",""fgn"":1,""com"":""2"",""total"":20},{""year"":""2015"",""us"":""29"",""fgn"":1,""com"":""4"",""total"":34},{""year"":""2016"",""us"":""35"",""fgn"":1,""com"":""1"",""total"":37},{""year"":""2017"",""us"":""59"",""fgn"":2,""com"":""0"",""total"":61},{""year"":""2018"",""us"":""98"",""fgn"":2,""com"":""0"",""total"":100},{""year"":""2019"",""us"":""106"",""fgn"":4,""com"":""0"",""total"":110},{""year"":""2020"",""us"":""100"",""fgn"":4,""com"":""0"",""total"":104},{""year"":""2021"",""us"":""109"",""fgn"":4,""com"":""0"",""total"":113},{""year"":""2022"",""us"":""129"",""fgn"":8,""com"":""0"",""total"":137},{""year"":""2023"",""us"":""159"",""fgn"":13,""com"":""0"",""total"":172}]"
"Batteries, light bulbs, and related products; repair services",1988,1992,Retail,$197K - $466K,Batteries Plus,Freeman Spogli & Co.,#351,Ranked #404 last year,"[{""year"":""2013"",""us"":""529"",""fgn"":0,""com"":""40"",""total"":569},{""year"":""2014"",""us"":""586"",""fgn"":0,""com"":""42"",""total"":628},{""year"":""2015"",""us"":""614"",""fgn"":0,""com"":""46"",""total"":660},{""year"":""2016"",""us"":""638"",""fgn"":0,""com"":""48"",""total"":686},{""year"":""2017"",""us"":""660"",""fgn"":0,""com"":""52"",""total"":712},{""year"":""2018"",""us"":""666"",""fgn"":0,""com"":""66"",""total"":732},{""year"":""2019"",""us"":""653"",""fgn"":0,""com"":""87"",""total"":740},{""year"":""2020"",""us"":""619"",""fgn"":0,""com"":""86"",""total"":705},{""year"":""2021"",""us"":""614"",""fgn"":0,""com"":""99"",""total"":713},{""year"":""2022"",""us"":""618"",""fgn"":0,""com"":""107"",""total"":725}]"
Regenerative medicine and non-surgical pain management therapies,,2020,Health & Wellness,$220K - $329K,QC Kinetix,,#334,Not ranked last year,"[{""year"":""2018"",""us"":""0"",""fgn"":0,""com"":""2"",""total"":2},{""year"":""2019"",""us"":""0"",""fgn"":0,""com"":""4"",""total"":4},{""year"":""2020"",""us"":""0"",""fgn"":0,""com"":""9"",""total"":9},{""year"":""2021"",""us"":""11"",""fgn"":0,""com"":""11"",""total"":22},{""year"":""2022"",""us"":""128"",""fgn"":0,""com"":""10"",""total"":138}]"
Water and mold remediation and restoration,,2020,Maintenance,$87K - $212K,All Dry Services,,#333,Not ranked last year,"[{""year"":""2018"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2019"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2020"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2021"",""us"":""17"",""fgn"":0,""com"":""1"",""total"":18},{""year"":""2022"",""us"":""115"",""fgn"":0,""com"":""1"",""total"":116}]"
"Packing, shipping, printing, signs, marketing solutions",1985,1993,Services (Other),$203K - $253K,PostNet,PostNet,#332,Ranked #374 last year,"[{""year"":""2013"",""us"":""266"",""fgn"":410,""com"":""0"",""total"":676},{""year"":""2014"",""us"":""256"",""fgn"":408,""com"":""0"",""total"":664},{""year"":""2015"",""us"":""253"",""fgn"":424,""com"":""0"",""total"":677},{""year"":""2016"",""us"":""235"",""fgn"":426,""com"":""0"",""total"":661},{""year"":""2017"",""us"":""236"",""fgn"":430,""com"":""0"",""total"":666},{""year"":""2018"",""us"":""214"",""fgn"":447,""com"":""0"",""total"":661},{""year"":""2019"",""us"":""207"",""fgn"":468,""com"":""0"",""total"":675},{""year"":""2020"",""us"":""198"",""fgn"":475,""com"":""0"",""total"":673},{""year"":""2021"",""us"":""195"",""fgn"":458,""com"":""0"",""total"":653},{""year"":""2022"",""us"":""203"",""fgn"":460,""com"":""0"",""total"":663}]"
Window coverings,2004,2013,Home Improvement,$66K - $75K,Made in the Shade Blinds and More,"Cathy Morse, CEO",#331,Ranked #236 last year,"[{""year"":""2016"",""us"":""27"",""fgn"":22,""com"":""1"",""total"":50},{""year"":""2017"",""us"":""42"",""fgn"":22,""com"":""1"",""total"":65},{""year"":""2018"",""us"":""62"",""fgn"":23,""com"":""1"",""total"":86},{""year"":""2019"",""us"":""77"",""fgn"":24,""com"":""1"",""total"":102},{""year"":""2020"",""us"":""86"",""fgn"":26,""com"":""1"",""total"":113},{""year"":""2021"",""us"":""93"",""fgn"":25,""com"":""1"",""total"":119},{""year"":""2022"",""us"":""108"",""fgn"":26,""com"":""1"",""total"":135}]"
Residential pool construction,1988,2014,Home Improvement,$53K - $113K,Premier Pools & Spas,Premier Franchise Management,#330,Ranked #279 last year,"[{""year"":""2014"",""us"":""7"",""fgn"":0,""com"":""0"",""total"":7},{""year"":""2015"",""us"":""25"",""fgn"":0,""com"":""0"",""total"":25},{""year"":""2016"",""us"":""28"",""fgn"":0,""com"":""0"",""total"":28},{""year"":""2017"",""us"":""33"",""fgn"":0,""com"":""0"",""total"":33},{""year"":""2018"",""us"":""37"",""fgn"":0,""com"":""0"",""total"":37},{""year"":""2019"",""us"":""45"",""fgn"":0,""com"":""0"",""total"":45},{""year"":""2020"",""us"":""66"",""fgn"":0,""com"":""0"",""total"":66},{""year"":""2021"",""us"":""86"",""fgn"":0,""com"":""0"",""total"":86},{""year"":""2022"",""us"":""117"",""fgn"":0,""com"":""2"",""total"":119}]"
Hotels,1987,1987,Lodging,$265K - $9.4M,AmericInn by Wyndham,Wyndham Hotels & Resorts,#329,Not ranked last year,"[{""year"":""2014"",""us"":""187"",""fgn"":0,""com"":""10"",""total"":197},{""year"":""2015"",""us"":""187"",""fgn"":0,""com"":""10"",""total"":197},{""year"":""2016"",""us"":""187"",""fgn"":0,""com"":""10"",""total"":197},{""year"":""2017"",""us"":""202"",""fgn"":0,""com"":""0"",""total"":202},{""year"":""2018"",""us"":""200"",""fgn"":0,""com"":""0"",""total"":200},{""year"":""2019"",""us"":""204"",""fgn"":0,""com"":""0"",""total"":204},{""year"":""2020"",""us"":""205"",""fgn"":0,""com"":""0"",""total"":205},{""year"":""2021"",""us"":""204"",""fgn"":0,""com"":""0"",""total"":204},{""year"":""2022"",""us"":""206"",""fgn"":0,""com"":""0"",""total"":206}]"
"Doughnuts, breakfast items, coffee",,2019,Food,$526K - $1.2M,Randy's Donuts,,#328,Not ranked last year,"[{""year"":""2016"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2017"",""us"":""0"",""fgn"":0,""com"":""2"",""total"":2},{""year"":""2018"",""us"":""0"",""fgn"":0,""com"":""2"",""total"":2},{""year"":""2019"",""us"":""0"",""fgn"":0,""com"":""4"",""total"":4},{""year"":""2020"",""us"":""1"",""fgn"":3,""com"":""4"",""total"":8},{""year"":""2021"",""us"":""2"",""fgn"":5,""com"":""6"",""total"":13},{""year"":""2022"",""us"":""4"",""fgn"":9,""com"":""7"",""total"":20}]"
Nonmedical home care,2009,2010,Personal-Care Businesses,$113K - $198K,FirstLight Home Care,FirstLight Home Care Franchising LLC,#327,Ranked #121 last year,"[{""year"":""2013"",""us"":""62"",""fgn"":0,""com"":""0"",""total"":62},{""year"":""2014"",""us"":""85"",""fgn"":1,""com"":""0"",""total"":86},{""year"":""2015"",""us"":""109"",""fgn"":0,""com"":""0"",""total"":109},{""year"":""2016"",""us"":""134"",""fgn"":0,""com"":""0"",""total"":134},{""year"":""2017"",""us"":""154"",""fgn"":0,""com"":""0"",""total"":154},{""year"":""2018"",""us"":""171"",""fgn"":0,""com"":""0"",""total"":171},{""year"":""2019"",""us"":""184"",""fgn"":0,""com"":""0"",""total"":184},{""year"":""2020"",""us"":""189"",""fgn"":1,""com"":""0"",""total"":190},{""year"":""2021"",""us"":""198"",""fgn"":2,""com"":""0"",""total"":200},{""year"":""2022"",""us"":""187"",""fgn"":2,""com"":""0"",""total"":189}]"
Metal stores,1985,1987,Retail,$270K - $502K,Metal Supermarkets,"Stephen Schober, President/CEO",#326,Ranked #287 last year,"[{""year"":""2013"",""us"":""32"",""fgn"":23,""com"":""5"",""total"":60},{""year"":""2014"",""us"":""38"",""fgn"":23,""com"":""5"",""total"":66},{""year"":""2015"",""us"":""46"",""fgn"":23,""com"":""5"",""total"":74},{""year"":""2016"",""us"":""57"",""fgn"":23,""com"":""5"",""total"":85},{""year"":""2017"",""us"":""58"",""fgn"":25,""com"":""5"",""total"":88},{""year"":""2018"",""us"":""56"",""fgn"":25,""com"":""10"",""total"":91},{""year"":""2019"",""us"":""57"",""fgn"":25,""com"":""9"",""total"":91},{""year"":""2020"",""us"":""61"",""fgn"":25,""com"":""10"",""total"":96},{""year"":""2021"",""us"":""71"",""fgn"":25,""com"":""9"",""total"":105},{""year"":""2022"",""us"":""80"",""fgn"":25,""com"":""10"",""total"":115}]"
Hotels,1970,1972,Lodging,$190K - $6.4M,Days Inn by Wyndham,Wyndham Hotels & Resorts,#325,Ranked #293 last year,"[{""year"":""2013"",""us"":""1597"",""fgn"":231,""com"":""0"",""total"":1828},{""year"":""2014"",""us"":""1544"",""fgn"":250,""com"":""0"",""total"":1794},{""year"":""2015"",""us"":""1530"",""fgn"":252,""com"":""0"",""total"":1782},{""year"":""2016"",""us"":""1528"",""fgn"":263,""com"":""0"",""total"":1791},{""year"":""2017"",""us"":""1505"",""fgn"":272,""com"":""0"",""total"":1777},{""year"":""2018"",""us"":""1471"",""fgn"":273,""com"":""0"",""total"":1744},{""year"":""2019"",""us"":""1456"",""fgn"":272,""com"":""0"",""total"":1728},{""year"":""2020"",""us"":""1432"",""fgn"":259,""com"":""0"",""total"":1691},{""year"":""2021"",""us"":""1370"",""fgn"":230,""com"":""0"",""total"":1600},{""year"":""2022"",""us"":""1326"",""fgn"":233,""com"":""0"",""total"":1559}]"
Educational enrichment programs,2003,2012,Children's Businesses,$50K - $69K,Challenge Island,Challenge Island Global,#324,Ranked #409 last year,"[{""year"":""2014"",""us"":""28"",""fgn"":3,""com"":""3"",""total"":34},{""year"":""2015"",""us"":""29"",""fgn"":2,""com"":""3"",""total"":34},{""year"":""2016"",""us"":""37"",""fgn"":2,""com"":""3"",""total"":42},{""year"":""2017"",""us"":""40"",""fgn"":2,""com"":""3"",""total"":45},{""year"":""2018"",""us"":""71"",""fgn"":6,""com"":""3"",""total"":80},{""year"":""2019"",""us"":""90"",""fgn"":11,""com"":""3"",""total"":104},{""year"":""2020"",""us"":""111"",""fgn"":11,""com"":""7"",""total"":129},{""year"":""2021"",""us"":""127"",""fgn"":29,""com"":""7"",""total"":163},{""year"":""2022"",""us"":""141"",""fgn"":38,""com"":""7"",""total"":186}]"
Bubble tea,,2011,Food,$169K - $378K,Kung Fu Tea,,#323,Not ranked last year,"[{""year"":""2019"",""us"":""180"",""fgn"":8,""com"":""2"",""total"":190},{""year"":""2020"",""us"":""216"",""fgn"":10,""com"":""3"",""total"":229},{""year"":""2021"",""us"":""259"",""fgn"":10,""com"":""3"",""total"":272},{""year"":""2022"",""us"":""308"",""fgn"":6,""com"":""3"",""total"":317}]"
Mobile self-storage containers,2004,2005,Services (Other),$687K - $1.3M,Units Moving and Portable Storage,Units Franchise Group,#322,Ranked #353 last year,"[{""year"":""2013"",""us"":""24"",""fgn"":0,""com"":""5"",""total"":29},{""year"":""2014"",""us"":""25"",""fgn"":0,""com"":""4"",""total"":29},{""year"":""2015"",""us"":""27"",""fgn"":0,""com"":""4"",""total"":31},{""year"":""2016"",""us"":""27"",""fgn"":0,""com"":""2"",""total"":29},{""year"":""2017"",""us"":""27"",""fgn"":0,""com"":""2"",""total"":29},{""year"":""2018"",""us"":""25"",""fgn"":0,""com"":""3"",""total"":28},{""year"":""2019"",""us"":""28"",""fgn"":0,""com"":""3"",""total"":31},{""year"":""2020"",""us"":""28"",""fgn"":0,""com"":""3"",""total"":31},{""year"":""2021"",""us"":""43"",""fgn"":0,""com"":""3"",""total"":46},{""year"":""2022"",""us"":""59"",""fgn"":0,""com"":""2"",""total"":61}]"
STEAM education programs,2010,2015,Children's Businesses,$74K - $497K,Snapology,Unleashed Brands LLC,#321,Ranked #309 last year,"[{""year"":""2015"",""us"":""5"",""fgn"":0,""com"":""1"",""total"":6},{""year"":""2016"",""us"":""14"",""fgn"":0,""com"":""1"",""total"":15},{""year"":""2017"",""us"":""23"",""fgn"":2,""com"":""1"",""total"":26},{""year"":""2018"",""us"":""45"",""fgn"":7,""com"":""1"",""total"":53},{""year"":""2019"",""us"":""63"",""fgn"":26,""com"":""2"",""total"":91},{""year"":""2020"",""us"":""72"",""fgn"":58,""com"":""2"",""total"":132},{""year"":""2021"",""us"":""69"",""fgn"":61,""com"":""2"",""total"":132},{""year"":""2022"",""us"":""101"",""fgn"":59,""com"":""3"",""total"":163}]"
Hotels,1974,1987,Lodging,$176K - $8.8M,Baymont by Wyndham,Wyndham Hotels & Resorts,#320,Ranked #225 last year,"[{""year"":""2013"",""us"":""322"",""fgn"":1,""com"":""0"",""total"":323},{""year"":""2014"",""us"":""369"",""fgn"":0,""com"":""0"",""total"":369},{""year"":""2015"",""us"":""383"",""fgn"":0,""com"":""0"",""total"":383},{""year"":""2016"",""us"":""423"",""fgn"":2,""com"":""0"",""total"":425},{""year"":""2017"",""us"":""446"",""fgn"":3,""com"":""0"",""total"":449},{""year"":""2018"",""us"":""493"",""fgn"":4,""com"":""0"",""total"":497},{""year"":""2019"",""us"":""509"",""fgn"":4,""com"":""0"",""total"":513},{""year"":""2020"",""us"":""521"",""fgn"":4,""com"":""0"",""total"":525},{""year"":""2021"",""us"":""513"",""fgn"":6,""com"":""0"",""total"":519},{""year"":""2022"",""us"":""507"",""fgn"":6,""com"":""0"",""total"":513}]"
Dry cleaning and laundry services,1996,2006,Services (Other),$730K - $1.3M,Zips Cleaners,Zips Franchising LLC,#319,Ranked #312 last year,"[{""year"":""2013"",""us"":""33"",""fgn"":0,""com"":""1"",""total"":34},{""year"":""2014"",""us"":""37"",""fgn"":0,""com"":""1"",""total"":38},{""year"":""2015"",""us"":""39"",""fgn"":0,""com"":""1"",""total"":40},{""year"":""2016"",""us"":""44"",""fgn"":0,""com"":""1"",""total"":45},{""year"":""2017"",""us"":""50"",""fgn"":0,""com"":""2"",""total"":52},{""year"":""2018"",""us"":""53"",""fgn"":0,""com"":""2"",""total"":55},{""year"":""2019"",""us"":""60"",""fgn"":0,""com"":""2"",""total"":62},{""year"":""2020"",""us"":""65"",""fgn"":0,""com"":""2"",""total"":67},{""year"":""2021"",""us"":""67"",""fgn"":0,""com"":""3"",""total"":70},{""year"":""2022"",""us"":""63"",""fgn"":0,""com"":""3"",""total"":66}]"
Build-your-own pizza,2012,2012,Food,$624K - $1.1M,Blaze Pizza,Blaze Pizza LLC,#318,Ranked #264 last year,"[{""year"":""2013"",""us"":""9"",""fgn"":0,""com"":""1"",""total"":10},{""year"":""2014"",""us"":""30"",""fgn"":0,""com"":""1"",""total"":31},{""year"":""2015"",""us"":""97"",""fgn"":1,""com"":""5"",""total"":103},{""year"":""2016"",""us"":""139"",""fgn"":3,""com"":""5"",""total"":147},{""year"":""2017"",""us"":""193"",""fgn"":5,""com"":""5"",""total"":203},{""year"":""2018"",""us"":""265"",""fgn"":12,""com"":""6"",""total"":283},{""year"":""2019"",""us"":""303"",""fgn"":27,""com"":""7"",""total"":337},{""year"":""2020"",""us"":""300"",""fgn"":30,""com"":""12"",""total"":342},{""year"":""2021"",""us"":""299"",""fgn"":28,""com"":""13"",""total"":340},{""year"":""2022"",""us"":""301"",""fgn"":28,""com"":""7"",""total"":336}]"
Commercial kitchen maintenance services,,1996,Maintenance,$124K - $139K,Filta Environmental Kitchen Solutions,,#317,Not ranked last year,"[{""year"":""2015"",""us"":""250"",""fgn"":34,""com"":""0"",""total"":284},{""year"":""2016"",""us"":""275"",""fgn"":34,""com"":""0"",""total"":309},{""year"":""2017"",""us"":""300"",""fgn"":41,""com"":""2"",""total"":343},{""year"":""2018"",""us"":""303"",""fgn"":54,""com"":""3"",""total"":360},{""year"":""2019"",""us"":""303"",""fgn"":0,""com"":""0"",""total"":303},{""year"":""2020"",""us"":""316"",""fgn"":0,""com"":""0"",""total"":316},{""year"":""2021"",""us"":""318"",""fgn"":3,""com"":""0"",""total"":321},{""year"":""2022"",""us"":""323"",""fgn"":3,""com"":""0"",""total"":326}]"
Computer-coding learning centers for ages 5 and up,2016,2016,Children's Businesses,$181K - $452K,Code Ninjas,Franchiczar,#316,Ranked #494 last year,"[{""year"":""2017"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2018"",""us"":""46"",""fgn"":0,""com"":""1"",""total"":47},{""year"":""2019"",""us"":""161"",""fgn"":1,""com"":""2"",""total"":164},{""year"":""2020"",""us"":""229"",""fgn"":26,""com"":""2"",""total"":257},{""year"":""2021"",""us"":""270"",""fgn"":62,""com"":""4"",""total"":336},{""year"":""2022"",""us"":""292"",""fgn"":93,""com"":""6"",""total"":391}]"
"Hair regrowth, replacement, and restoration solutions",,1979,Personal-Care Businesses,$492K - $1.5M,HairClub,,#315,Not ranked last year,"[{""year"":""2019"",""us"":""22"",""fgn"":1,""com"":""96"",""total"":119},{""year"":""2020"",""us"":""22"",""fgn"":1,""com"":""96"",""total"":119},{""year"":""2021"",""us"":""21"",""fgn"":1,""com"":""95"",""total"":117},{""year"":""2022"",""us"":""21"",""fgn"":1,""com"":""95"",""total"":117}]"
Real estate,1969,2000,Services (Other),$63K - $326K,Weichert,Weichert Real Estate Affiliates Inc.,#314,Ranked #282 last year,"[{""year"":""2013"",""us"":""229"",""fgn"":0,""com"":""143"",""total"":372},{""year"":""2014"",""us"":""246"",""fgn"":0,""com"":""140"",""total"":386},{""year"":""2015"",""us"":""277"",""fgn"":0,""com"":""139"",""total"":416},{""year"":""2016"",""us"":""309"",""fgn"":0,""com"":""138"",""total"":447},{""year"":""2017"",""us"":""323"",""fgn"":0,""com"":""129"",""total"":452},{""year"":""2018"",""us"":""348"",""fgn"":0,""com"":""131"",""total"":479},{""year"":""2019"",""us"":""351"",""fgn"":0,""com"":""126"",""total"":477},{""year"":""2020"",""us"":""367"",""fgn"":0,""com"":""115"",""total"":482},{""year"":""2021"",""us"":""376"",""fgn"":0,""com"":""114"",""total"":490},{""year"":""2022"",""us"":""378"",""fgn"":0,""com"":""111"",""total"":489}]"
